City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
274,Namibe,-15.1961,12.1522,75.52,81,100,4.34,AO,overcast clouds
275,Hami,42.8,93.45,51.78,27,100,8.41,CN,overcast clouds
276,Ust-Tsilma,65.441,52.1498,26.22,95,100,7.83,RU,light snow
277,Mexticacan,21.2654,-102.7798,62.6,15,1,6.33,MX,clear sky
278,Chokurdakh,70.6333,147.9167,-13.63,91,0,5.88,RU,clear sky
279,Nyurba,63.2842,118.3319,-2.74,86,40,9.73,RU,scattered clouds
280,Clonakilty,51.6231,-8.8706,46.4,81,20,12.66,IE,few clouds
281,Lasa,46.6166,10.7002,30.0,100,90,3.44,IT,light snow
282,Nanortalik,60.1432,-45.2371,29.3,80,100,8.61,GL,overcast clouds
283,Chuy,-33.6971,-53.4616,62.42,82,0,2.93,UY,clear sky
284,Henties Bay,-22.116,14.2845,61.0,96,21,1.01,NA,few clouds
285,Poronaysk,49.2167,143.1167,33.39,92,14,2.71,RU,few clouds
286,Jacmel,18.2342,-72.5347,75.2,78,17,4.61,HT,few clouds
287,San Vicente,-26.6167,-54.1333,66.7,78,44,2.98,AR,light rain
288,Santa Fe,-31.6333,-60.7,73.99,68,56,3.0,AR,broken clouds
289,Kovdor,67.5662,30.4758,22.37,96,100,1.45,RU,overcast clouds
290,Pacific Grove,36.6177,-121.9166,55.4,76,90,13.8,US,overcast clouds
291,Humaita,-7.5061,-63.0208,74.12,96,100,1.59,BR,overcast clouds
292,Newtownards,54.5924,-5.6909,45.0,87,90,4.61,GB,overcast clouds
293,Husavik,66.0449,-17.3389,14.0,85,0,3.44,IS,clear sky
294,San Borja,-14.8167,-66.85,72.68,97,100,2.55,BO,overcast clouds
295,Parrita,9.5201,-84.3225,69.8,64,0,11.5,CR,clear sky
296,Srinivaspur,13.3333,78.2167,81.0,36,16,8.05,IN,few clouds
297,San Patricio,28.017,-97.5169,59.0,82,75,3.44,US,broken clouds
298,Acapulco,16.8634,-99.8901,78.8,78,20,3.44,MX,few clouds
299,Guiratinga,-16.3494,-53.7583,69.4,84,95,3.11,BR,overcast clouds
300,Kirakira,-10.4544,161.9205,82.29,78,47,3.89,SB,scattered clouds
301,Puerto Madryn,-42.7692,-65.0385,61.99,81,100,19.37,AR,overcast clouds
302,Santiago,-33.4569,-70.6483,64.0,82,0,9.22,CL,clear sky
303,Hanzhong,33.0728,107.0303,69.53,55,44,0.49,CN,scattered clouds
304,Armizonskoye,55.9461,67.6736,9.32,85,0,11.77,RU,clear sky
305,Nanga Eboko,4.6833,12.3667,68.49,95,100,1.86,CM,light rain
306,Altay,47.8667,88.1167,21.88,91,100,2.95,CN,light snow
307,Moose Factory,51.2585,-80.6094,1.4,60,1,10.36,CA,clear sky
308,Ilulissat,69.2167,-51.1,10.4,56,20,6.91,GL,few clouds
309,Arraial Do Cabo,-22.9661,-42.0278,76.3,86,99,16.6,BR,overcast clouds
310,Paamiut,61.994,-49.6678,25.93,67,99,17.27,GL,overcast clouds
311,Ipatele,46.9167,27.4167,39.2,100,75,4.61,RO,light rain
312,Naze,28.3667,129.4833,69.8,56,20,8.05,JP,few clouds
313,Ringas,27.35,75.5667,78.8,36,20,11.5,IN,haze
314,Rabo De Peixe,37.8,-25.5833,59.0,100,75,4.61,PT,broken clouds
315,Geraldton,-28.7667,114.6,95.0,16,57,20.71,AU,broken clouds
316,Avera,33.194,-82.5271,68.0,73,1,8.05,US,clear sky
317,Leningradskiy,69.3833,178.4167,1.51,93,100,12.03,RU,light snow
318,Candolim,15.5181,73.7626,82.4,78,20,4.61,IN,few clouds
319,Kokopo,-4.352,152.2633,85.33,62,51,9.31,PG,broken clouds
320,Chernyshevskiy,63.0128,112.4714,-1.34,92,90,13.06,RU,overcast clouds
321,Nuuk,64.1835,-51.7216,21.2,79,42,11.5,GL,scattered clouds
322,Acurenam,1.0322,10.6488,66.99,99,100,1.7,GQ,overcast clouds
323,Nikolskoye,59.7035,30.7861,35.6,93,75,4.47,RU,moderate rain
324,Pangkalanbuun,-2.6833,111.6167,94.96,45,67,1.21,ID,broken clouds
325,Along,28.1667,94.7667,80.65,44,29,0.83,IN,scattered clouds
326,Loralai,30.3705,68.598,63.45,23,38,0.74,PK,scattered clouds
327,Kavieng,-2.5744,150.7967,84.78,67,92,10.65,PG,overcast clouds
328,Kano,12.0001,8.5167,78.8,22,92,8.05,NG,haze
329,Kukmor,56.1855,50.8944,19.72,93,100,17.31,RU,snow
330,Saint-Georges,12.0564,-61.7485,77.14,85,100,11.03,GD,overcast clouds
331,Vuktyl,63.8567,57.3094,19.31,93,99,10.02,RU,light snow
332,Arman,59.7,150.1667,12.79,76,77,2.57,RU,broken clouds
333,Honiara,-9.4333,159.95,81.32,84,97,4.5,SB,overcast clouds
334,Osmanabad,18.1667,76.05,84.2,17,0,14.32,IN,clear sky
335,Izumrud,57.0788,61.3993,15.8,53,0,11.18,RU,clear sky
336,Khasan,42.4308,130.6434,44.38,75,66,13.33,RU,broken clouds
337,Kalmunai,7.4167,81.8167,82.78,67,55,7.02,LK,broken clouds
338,Mangai,-4.05,19.5333,69.75,98,72,1.77,CD,light rain
339,Ucluelet,48.9329,-125.5528,41.0,67,26,5.01,CA,scattered clouds
340,Cabedelo,-6.9811,-34.8339,77.0,88,20,5.75,BR,few clouds
341,Yar-Sale,66.8333,70.8333,11.52,95,98,3.62,RU,overcast clouds
342,Padang,-0.9492,100.3543,84.2,74,20,4.61,ID,few clouds
343,Karwar,14.8,74.1333,84.51,61,8,5.73,IN,clear sky
344,Bairiki,1.3292,172.9752,86.0,70,40,10.36,KI,scattered clouds
345,Bonthe,7.5264,-12.505,76.93,83,43,5.26,SL,light rain
346,Beyneu,45.3167,55.2,29.53,54,43,9.6,KZ,scattered clouds
347,Almaznyy,48.0448,40.045,30.2,93,40,17.9,RU,scattered clouds
348,Magadi,12.9667,77.2333,82.99,32,12,2.3,IN,few clouds
